timestamp,src_ip,query,record_type,response,dns_server,category
2024-03-17 14:43:01,10.10.2.104,www.linkedin.com,A,93.184.45.105,10.10.50.1,Normal
2024-03-03 17:20:49,10.10.7.102,www.office.com,A,93.184.128.2,10.10.50.1,Normal
2024-03-21 14:28:29,10.10.2.107,docs.microsoft.com,A,93.184.185.165,10.10.50.1,Normal
2024-03-04 10:38:44,10.10.9.104,teams.microsoft.com,A,93.184.192.34,10.10.50.1,Normal
2024-03-14 09:57:39,10.10.1.102,www.linkedin.com,A,93.184.81.152,10.10.50.1,Normal
2024-03-26 10:42:13,10.10.3.102,www.linkedin.com,A,93.184.152.43,10.10.50.1,Normal
2024-03-03 08:15:58,10.10.6.102,www.linkedin.com,A,93.184.115.37,10.10.50.1,Normal
2024-03-12 16:31:52,10.10.5.102,www.dropbox.com,A,93.184.101.158,10.10.50.1,Normal
2024-03-12 13:46:01,10.10.1.105,outlook.office365.com,A,93.184.123.157,10.10.50.1,Normal
2024-03-25 15:17:52,10.10.6.101,slack.com,A,93.184.142.153,10.10.50.1,Normal
2024-03-10 09:14:08,10.10.4.101,stackoverflow.com,A,93.184.183.42,10.10.50.1,Normal
2024-03-05 12:51:57,10.10.4.101,www.linkedin.com,A,93.184.59.167,10.10.50.1,Normal
2024-03-29 13:48:58,10.10.1.102,www.office.com,A,93.184.181.169,10.10.50.1,Normal
2024-03-21 15:50:44,10.10.8.103,teams.microsoft.com,A,93.184.159.199,10.10.50.1,Normal
2024-03-29 16:06:42,10.10.6.105,www.microsoft.com,A,93.184.143.184,10.10.50.1,Normal
2024-03-20 08:22:51,10.10.6.104,trello.com,A,93.184.53.67,10.10.50.1,Normal
2024-03-05 12:04:59,10.10.3.102,www.linkedin.com,A,93.184.164.26,10.10.50.1,Normal
2024-03-01 12:47:42,10.10.7.101,github.com,A,93.184.119.61,10.10.50.1,Normal
2024-03-07 12:56:23,10.10.3.101,stackoverflow.com,A,93.184.121.154,10.10.50.1,Normal
2024-03-09 11:58:17,10.10.5.107,stackoverflow.com,A,93.184.32.106,10.10.50.1,Normal
2024-03-07 12:24:59,10.10.2.106,www.linkedin.com,A,93.184.142.141,10.10.50.1,Normal
2024-03-26 09:47:36,10.10.5.109,docs.microsoft.com,A,93.184.96.42,10.10.50.1,Normal
2024-03-26 15:53:24,10.10.4.103,trello.com,A,93.184.59.116,10.10.50.1,Normal
2024-03-11 13:13:57,10.10.6.102,github.com,A,93.184.46.9,10.10.50.1,Normal
2024-03-07 15:47:17,10.10.1.102,www.linkedin.com,A,93.184.154.123,10.10.50.1,Normal
2024-03-29 16:24:16,10.10.5.107,portal.azure.com,A,93.184.128.28,10.10.50.1,Normal
2024-03-01 10:36:13,10.10.4.103,www.dropbox.com,A,93.184.42.90,10.10.50.1,Normal
2024-03-12 16:24:30,10.10.8.103,outlook.office365.com,A,93.184.171.94,10.10.50.1,Normal
2024-03-18 12:41:24,10.10.5.104,www.dropbox.com,A,93.184.116.130,10.10.50.1,Normal
2024-03-12 13:25:49,10.10.7.102,www.office.com,A,93.184.33.155,10.10.50.1,Normal
2024-03-01 16:18:01,10.10.5.109,www.salesforce.com,A,93.184.12.75,10.10.50.1,Normal
2024-03-10 12:20:17,10.10.3.104,www.dropbox.com,A,93.184.171.163,10.10.50.1,Normal
2024-03-10 16:44:06,10.10.3.104,www.salesforce.com,A,93.184.39.65,10.10.50.1,Normal
2024-03-16 08:19:49,10.10.5.108,www.linkedin.com,A,93.184.120.161,10.10.50.1,Normal
2024-03-30 08:55:51,10.10.2.102,www.microsoft.com,A,93.184.68.170,10.10.50.1,Normal
2024-03-12 12:03:19,10.10.4.102,www.linkedin.com,A,93.184.56.83,10.10.50.1,Normal
2024-03-11 17:01:11,10.10.4.105,www.linkedin.com,A,93.184.125.140,10.10.50.1,Normal
2024-03-04 16:17:11,10.10.1.105,trello.com,A,93.184.136.30,10.10.50.1,Normal
2024-03-21 12:52:29,10.10.1.103,www.linkedin.com,A,93.184.38.7,10.10.50.1,Normal
2024-03-06 14:30:01,10.10.8.103,trello.com,A,93.184.171.113,10.10.50.1,Normal
2024-03-13 17:56:55,10.10.4.102,www.office.com,A,93.184.146.157,10.10.50.1,Normal
2024-03-26 16:41:51,10.10.7.102,slack.com,A,93.184.197.28,10.10.50.1,Normal
2024-03-02 08:32:58,10.10.5.102,docs.microsoft.com,A,93.184.85.114,10.10.50.1,Normal
2024-03-05 15:29:48,10.10.6.103,slack.com,A,93.184.91.6,10.10.50.1,Normal
2024-03-18 17:44:34,10.10.2.107,docs.microsoft.com,A,93.184.146.84,10.10.50.1,Normal
2024-03-15 09:54:30,10.10.1.104,www.salesforce.com,A,93.184.8.74,10.10.50.1,Normal
2024-03-14 12:58:24,10.10.7.103,www.office.com,A,93.184.129.43,10.10.50.1,Normal
2024-03-22 15:35:59,10.10.4.105,trello.com,A,93.184.187.129,10.10.50.1,Normal
