timestamp,user,share,file_path,action,size_bytes,src_ip,category
2024-03-24 10:31:38,owatson,\\FS-CORP-001\IT,\\FS-CORP-001\IT\document_497.pdf,Read,86592,10.10.8.105,Normal
2024-03-05 16:13:03,pbrooks,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_773.csv,Rename,404030,10.10.9.101,Normal
2024-03-25 15:31:12,owatson,\\FS-CORP-001\Sales,\\FS-CORP-001\Sales\document_681.pdf,Read,406072,10.10.8.105,Normal
2024-03-16 13:46:25,mwilson,\\FS-CORP-001\Finance,\\FS-CORP-001\Finance\document_405.csv,Write,108547,10.10.1.102,Normal
2024-03-13 13:02:31,gbell,\\FS-CORP-001\IT,\\FS-CORP-001\IT\document_698.xlsx,Create,291940,10.10.6.106,Normal
2024-03-05 08:42:02,sturner,\\FS-CORP-001\Sales,\\FS-CORP-001\Sales\document_654.pdf,Rename,210461,10.10.5.102,Normal
2024-03-07 11:36:32,crogers,\\FS-CORP-001\Marketing,\\FS-CORP-001\Marketing\document_585.csv,Delete,448714,10.10.6.102,Normal
2024-03-14 16:08:28,qperez,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_774.docx,Create,130468,10.10.4.105,Normal
2024-03-02 11:43:18,mrichardson,\\FS-CORP-001\Finance,\\FS-CORP-001\Finance\document_311.pptx,Rename,413231,10.10.8.103,Normal
2024-03-30 16:51:24,rroberts,\\FS-CORP-001\Sales,\\FS-CORP-001\Sales\document_684.csv,Read,487128,10.10.5.101,Normal
2024-03-20 10:32:59,sprice,\\FS-CORP-001\All,\\FS-CORP-001\All\document_590.csv,Read,205655,10.10.9.104,Normal
2024-03-15 09:44:01,xcollins,\\FS-CORP-001\Marketing,\\FS-CORP-001\Marketing\document_240.docx,Write,77886,10.10.5.107,Normal
2024-03-04 16:18:39,qperez,\\FS-CORP-001\All,\\FS-CORP-001\All\document_936.docx,Read,12906,10.10.4.105,Normal
2024-03-29 12:53:16,kgreen,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_833.csv,Create,490854,10.10.3.104,Normal
2024-03-30 15:28:51,mwilson,\\FS-CORP-001\IT,\\FS-CORP-001\IT\document_794.docx,Write,395871,10.10.1.102,Normal
2024-03-12 15:26:08,wevans,\\FS-CORP-001\Sales,\\FS-CORP-001\Sales\document_289.xlsx,Rename,118785,10.10.5.106,Normal
2024-03-10 13:03:12,lward,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_514.csv,Read,376067,10.10.8.102,Normal
2024-03-16 13:47:16,nnelson,\\FS-CORP-001\All,\\FS-CORP-001\All\document_137.pptx,Create,244357,10.10.4.102,Normal
2024-03-25 15:50:07,kgreen,\\FS-CORP-001\Finance,\\FS-CORP-001\Finance\document_127.xlsx,Write,480064,10.10.3.104,Normal
2024-03-05 11:11:23,ecook,\\FS-CORP-001\Sales,\\FS-CORP-001\Sales\document_838.docx,Write,90395,10.10.6.104,Normal
2024-03-22 17:14:50,mbaker,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_757.docx,Read,474707,10.10.4.101,Normal
2024-03-20 10:42:03,lbrown,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_449.csv,Create,19016,10.10.1.104,Normal
2024-03-04 11:23:22,jsmith,\\FS-CORP-001\Finance,\\FS-CORP-001\Finance\document_573.docx,Read,13171,10.10.1.101,Normal
2024-03-16 11:09:55,iwalker,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_104.xlsx,Create,117121,10.10.3.102,Normal
2024-03-25 10:20:31,xcollins,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_654.txt,Rename,123524,10.10.5.107,Normal
2024-03-11 10:10:44,yedwards,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_690.pdf,Delete,473965,10.10.5.108,Normal
2024-03-13 15:12:31,amartin,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_872.csv,Read,447253,10.10.2.102,Normal
2024-03-19 15:29:16,lbrown,\\FS-CORP-001\Finance,\\FS-CORP-001\Finance\document_938.pdf,Create,75006,10.10.1.104,Normal
2024-03-25 16:20:42,nnelson,\\FS-CORP-001\All,\\FS-CORP-001\All\document_117.txt,Write,219994,10.10.4.102,Normal
2024-03-17 16:56:02,iwalker,\\FS-CORP-001\IT,\\FS-CORP-001\IT\document_425.pdf,Rename,235184,10.10.3.102,Normal
2024-03-18 10:42:40,bmorris,\\FS-CORP-001\All,\\FS-CORP-001\All\document_559.xlsx,Read,473862,10.10.6.101,Normal
2024-03-15 08:29:00,gbell,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_11.pdf,Rename,124202,10.10.6.106,Normal
2024-03-21 14:03:43,hmurphy,\\FS-CORP-001\Marketing,\\FS-CORP-001\Marketing\document_308.txt,Write,36981,10.10.7.101,Normal
2024-03-14 16:08:01,jscott,\\FS-CORP-001\Marketing,\\FS-CORP-001\Marketing\document_274.txt,Read,99476,10.10.3.103,Normal
2024-03-06 12:25:30,mrichardson,\\FS-CORP-001\All,\\FS-CORP-001\All\document_898.csv,Write,429681,10.10.8.103,Normal
2024-03-20 13:25:14,ladams,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_793.pdf,Rename,384969,10.10.3.105,Normal
2024-03-07 09:45:01,bmorris,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_557.pdf,Write,497541,10.10.6.101,Normal
2024-03-02 15:06:53,mbaker,\\FS-CORP-001\IT,\\FS-CORP-001\IT\document_743.txt,Read,183599,10.10.4.101,Normal
2024-03-03 17:47:06,jrivera,\\FS-CORP-001\HR,\\FS-CORP-001\HR\document_525.txt,Rename,72282,10.10.7.103,Normal
