timestamp,action,protocol,src_ip,src_port,dst_ip,dst_port,bytes_sent,bytes_received,rule,category
2024-03-18 12:57:05,ALLOW,TCP,10.10.2.105,57409,93.184.61.50,443,4986,37370,OUTBOUND_WEB_ALLOW,Normal
2024-03-14 08:30:44,ALLOW,TCP,10.10.2.101,62301,93.184.179.183,443,1087,29001,OUTBOUND_WEB_ALLOW,Normal
2024-03-27 14:59:37,ALLOW,TCP,10.10.5.104,62924,93.184.186.179,8080,2405,19237,OUTBOUND_WEB_ALLOW,Normal
2024-03-07 13:03:53,ALLOW,TCP,10.10.2.104,56724,93.184.129.184,443,2896,21428,OUTBOUND_WEB_ALLOW,Normal
2024-03-30 10:15:35,ALLOW,TCP,10.10.3.101,61678,93.184.83.192,443,2155,21880,OUTBOUND_WEB_ALLOW,Normal
2024-03-21 09:00:39,ALLOW,TCP,10.10.1.102,56809,93.184.157.27,80,3260,11859,OUTBOUND_WEB_ALLOW,Normal
2024-03-03 09:58:19,ALLOW,TCP,10.10.6.103,50388,93.184.188.55,443,342,19775,OUTBOUND_WEB_ALLOW,Normal
2024-03-22 10:46:30,ALLOW,TCP,10.10.2.107,63375,93.184.55.187,443,4551,22806,OUTBOUND_WEB_ALLOW,Normal
2024-03-12 10:57:14,ALLOW,TCP,10.10.8.103,61789,93.184.83.180,443,908,41751,OUTBOUND_WEB_ALLOW,Normal
2024-03-01 11:19:28,ALLOW,TCP,10.10.9.101,49860,93.184.137.88,443,4188,863,OUTBOUND_WEB_ALLOW,Normal
2024-03-22 14:49:51,ALLOW,TCP,10.10.6.106,51061,93.184.50.10,443,372,15570,OUTBOUND_WEB_ALLOW,Normal
2024-03-21 13:17:18,ALLOW,TCP,10.10.2.105,62790,93.184.91.12,443,600,44338,OUTBOUND_WEB_ALLOW,Normal
2024-03-23 08:32:47,ALLOW,TCP,10.10.2.107,54338,93.184.86.43,80,3394,9442,OUTBOUND_WEB_ALLOW,Normal
2024-03-13 14:21:33,ALLOW,TCP,10.10.1.105,56165,93.184.115.108,443,2764,30250,OUTBOUND_WEB_ALLOW,Normal
2024-03-25 10:58:39,ALLOW,TCP,10.10.3.104,56105,93.184.80.81,443,2966,31586,OUTBOUND_WEB_ALLOW,Normal
2024-03-02 15:58:14,ALLOW,TCP,10.10.8.103,50336,93.184.179.103,80,1339,20400,OUTBOUND_WEB_ALLOW,Normal
2024-03-26 08:52:02,ALLOW,TCP,10.10.7.103,60089,93.184.76.7,8080,2416,42831,OUTBOUND_WEB_ALLOW,Normal
2024-03-10 08:59:07,ALLOW,TCP,10.10.7.103,56966,93.184.161.149,443,1702,7380,OUTBOUND_WEB_ALLOW,Normal
2024-03-21 10:08:08,ALLOW,TCP,10.10.8.101,61588,93.184.124.88,443,4681,14276,OUTBOUND_WEB_ALLOW,Normal
2024-03-05 13:43:05,ALLOW,TCP,10.10.9.101,50714,93.184.197.136,443,4930,10667,OUTBOUND_WEB_ALLOW,Normal
