timestamp,event_id,event_name,user,host,src_ip,script_block,script_block_id,path,category
2024-03-09 09:32:16,4104,ScriptBlockLogging,ladams,WIN-IT-005,10.10.3.105,Get-ChildItem -Path C:\Users -Recurse,block_75084,Console,Normal
2024-03-16 12:12:14,4104,ScriptBlockLogging,jscott,WIN-IT-003,10.10.3.103,Invoke-WebRequest -Uri https://www.microsoft.com,block_73485,Console,Normal
2024-03-20 10:34:33,4104,ScriptBlockLogging,wevans,WIN-SALES-006,10.10.5.106,Get-EventLog -LogName System -Newest 50,block_74510,Console,Normal
2024-03-11 14:57:25,4104,ScriptBlockLogging,rroberts,WIN-SALES-001,10.10.5.101,Get-EventLog -LogName System -Newest 50,block_88393,Console,Normal
2024-03-22 16:57:27,4104,ScriptBlockLogging,jrivera,WIN-EXEC-003,10.10.7.103,Get-Process,block_84638,Console,Normal
2024-03-12 09:19:10,4104,ScriptBlockLogging,crogers,WIN-MKT-002,10.10.6.102,Get-WmiObject Win32_OperatingSystem,block_95615,Console,Normal
2024-03-11 16:18:45,4104,ScriptBlockLogging,eharris,WIN-FIN-005,10.10.2.105,Get-EventLog -LogName System -Newest 50,block_37293,Console,Normal
2024-03-21 14:52:35,4104,ScriptBlockLogging,svc_antivirus,DC-PRIMARY-001,10.10.50.1,Get-ADUser -Filter *,block_48491,Console,Normal
2024-03-21 09:39:31,4104,ScriptBlockLogging,kgreen,WIN-IT-004,10.10.3.104,Get-WmiObject Win32_OperatingSystem,block_67331,Console,Normal
2024-03-24 17:26:21,4104,ScriptBlockLogging,hrobinson,WIN-IT-001,10.10.3.101,Get-Service,block_64692,Console,Normal
2024-03-03 08:39:41,4104,ScriptBlockLogging,pmitchell,WIN-SOC-004,10.10.4.104,Get-NetAdapter,block_81247,Console,Normal
2024-03-18 15:03:16,4104,ScriptBlockLogging,ladams,WIN-IT-005,10.10.3.105,Get-NetAdapter,block_92963,Console,Normal
2024-03-21 12:46:22,4104,ScriptBlockLogging,ecook,WIN-MKT-004,10.10.6.104,Get-ADUser -Filter *,block_13950,Console,Normal
2024-03-15 13:41:41,4104,ScriptBlockLogging,kjones,WIN-HR-005,10.10.1.105,Get-ChildItem -Path C:\Users -Recurse,block_27689,Console,Normal
2024-03-04 13:53:44,4104,ScriptBlockLogging,mwilson,WIN-HR-002,10.10.1.102,Get-Service,block_54832,Console,Normal
2024-03-14 12:20:30,4104,ScriptBlockLogging,nnelson,WIN-SOC-002,10.10.4.102,Get-ADUser -Filter *,block_57258,Console,Normal
2024-03-20 11:45:16,4104,ScriptBlockLogging,jsmith,WIN-HR-001,10.10.1.101,Get-ChildItem -Path C:\Users -Recurse,block_66341,Console,Normal
2024-03-08 09:37:46,4104,ScriptBlockLogging,wevans,WIN-SALES-006,10.10.5.106,Get-Service,block_36143,Console,Normal
2024-03-21 15:11:52,4104,ScriptBlockLogging,xcollins,WIN-SALES-007,10.10.5.107,Get-Service,block_10372,Console,Normal
2024-03-26 10:12:42,4104,ScriptBlockLogging,rsanders,WIN-RD-003,10.10.9.103,Get-Process,block_35126,Console,Normal
2024-03-06 17:19:28,4104,ScriptBlockLogging,zstewart,WIN-SALES-009,10.10.5.109,Get-Process,block_74741,Console,Normal
2024-03-03 10:13:52,4104,ScriptBlockLogging,jrivera,WIN-EXEC-003,10.10.7.103,Invoke-WebRequest -Uri https://www.microsoft.com,block_89733,Console,Normal
2024-03-28 15:49:17,4104,ScriptBlockLogging,sturner,WIN-SALES-002,10.10.5.102,Invoke-WebRequest -Uri https://www.microsoft.com,block_62144,Console,Normal
2024-03-24 17:24:38,4104,ScriptBlockLogging,iwalker,WIN-IT-002,10.10.3.102,Get-ADUser -Filter *,block_42872,Console,Normal
2024-03-12 11:09:33,4104,ScriptBlockLogging,sprice,WIN-RD-004,10.10.9.104,Get-NetAdapter,block_28007,Console,Normal
2024-03-16 12:33:30,4104,ScriptBlockLogging,nwood,WIN-OPS-004,10.10.8.104,Get-NetAdapter,block_22526,Console,Normal
2024-03-16 16:07:15,4104,ScriptBlockLogging,wevans,WIN-SALES-006,10.10.5.106,Get-NetAdapter,block_78233,Console,Normal
2024-03-12 09:27:21,4104,ScriptBlockLogging,hmurphy,WIN-EXEC-001,10.10.7.101,Get-ADUser -Filter *,block_19380,Console,Normal
2024-03-29 11:10:15,4104,ScriptBlockLogging,svc_antivirus,DC-PRIMARY-001,10.10.50.1,Get-Service,block_52294,Console,Normal
2024-03-16 09:03:20,4104,ScriptBlockLogging,dreed,WIN-MKT-003,10.10.6.103,Get-Process,block_38399,Console,Normal
2024-03-27 10:02:52,4104,ScriptBlockLogging,mbaker,WIN-SOC-001,10.10.4.101,Set-Location C:\Users,block_87985,Console,Normal
2024-03-17 09:03:10,4104,ScriptBlockLogging,svc_splunk,DC-PRIMARY-001,10.10.50.1,Get-ChildItem -Path C:\Users -Recurse,block_84341,Console,Normal
2024-03-04 12:52:40,4104,ScriptBlockLogging,rsanders,WIN-RD-003,10.10.9.103,Get-Process,block_76438,Console,Normal
2024-03-11 14:31:28,4104,ScriptBlockLogging,pmitchell,WIN-SOC-004,10.10.4.104,Get-NetAdapter,block_31246,Console,Normal
2024-03-18 17:56:25,4104,ScriptBlockLogging,ptaylor,WIN-HR-003,10.10.1.103,Get-Process,block_68735,Console,Normal
2024-03-13 11:20:24,4104,ScriptBlockLogging,jrivera,WIN-EXEC-003,10.10.7.103,Start-Service -Name Spooler,block_78487,Console,Normal
2024-03-27 08:48:13,4104,ScriptBlockLogging,rsanders,WIN-RD-003,10.10.9.103,Get-Service,block_76006,Console,Normal
2024-03-09 17:21:26,4104,ScriptBlockLogging,mrichardson,WIN-OPS-003,10.10.8.103,Set-Location C:\Users,block_11643,Console,Normal
2024-03-08 13:03:20,4104,ScriptBlockLogging,ladams,WIN-IT-005,10.10.3.105,Set-Location C:\Users,block_33628,Console,Normal
2024-03-22 16:12:55,4104,ScriptBlockLogging,jrivera,WIN-EXEC-003,10.10.7.103,Get-NetAdapter,block_42339,Console,Normal
2024-03-07 15:04:02,4104,ScriptBlockLogging,pmitchell,WIN-SOC-004,10.10.4.104,Get-WmiObject Win32_OperatingSystem,block_40098,Console,Normal
2024-03-06 10:00:10,4104,ScriptBlockLogging,iwalker,WIN-IT-002,10.10.3.102,Start-Service -Name Spooler,block_27576,Console,Normal
2024-03-28 13:10:08,4104,ScriptBlockLogging,ocarter,WIN-SOC-003,10.10.4.103,Get-Service,block_41300,Console,Normal
2024-03-22 16:45:27,4104,ScriptBlockLogging,fmorgan,WIN-MKT-005,10.10.6.105,Get-NetAdapter,block_92191,Console,Normal
2024-03-15 16:47:39,4104,ScriptBlockLogging,rthompson,WIN-FIN-001,10.10.2.101,Get-WmiObject Win32_OperatingSystem,block_30450,Console,Normal
2024-03-05 10:51:51,4104,ScriptBlockLogging,ladams,WIN-IT-005,10.10.3.105,Get-ChildItem -Path C:\Users -Recurse,block_68505,Console,Normal
2024-03-25 16:28:47,4104,ScriptBlockLogging,ptaylor,WIN-HR-003,10.10.1.103,Set-Location C:\Users,block_44941,Console,Normal
2024-03-03 16:42:54,4104,ScriptBlockLogging,dlee,WIN-FIN-004,10.10.2.104,Get-ChildItem -Path C:\Users -Recurse,block_90121,Console,Normal
2024-03-16 12:33:37,4104,ScriptBlockLogging,wevans,WIN-SALES-006,10.10.5.106,Get-Process,block_39372,Console,Normal
2024-03-10 13:17:24,4104,ScriptBlockLogging,rroberts,WIN-SALES-001,10.10.5.101,Get-ADUser -Filter *,block_91806,Console,Normal
2024-03-13 09:43:44,4104,ScriptBlockLogging,mbaker,WIN-SOC-001,10.10.4.101,Get-ChildItem -Path C:\Users -Recurse,block_19080,Console,Normal
2024-03-24 17:02:01,4104,ScriptBlockLogging,iwalker,WIN-IT-002,10.10.3.102,Start-Service -Name Spooler,block_82226,Console,Normal
2024-03-12 13:40:48,4104,ScriptBlockLogging,bmorris,WIN-MKT-001,10.10.6.101,Set-Location C:\Users,block_27115,Console,Normal
2024-03-29 12:22:38,4104,ScriptBlockLogging,fclark,WIN-FIN-006,10.10.2.106,Set-Location C:\Users,block_64737,Console,Normal
2024-03-26 16:50:18,4104,ScriptBlockLogging,qkelly,WIN-RD-002,10.10.9.102,Get-EventLog -LogName System -Newest 50,block_56340,Console,Normal
2024-03-15 14:11:01,4104,ScriptBlockLogging,ocarter,WIN-SOC-003,10.10.4.103,Get-ADUser -Filter *,block_31381,Console,Normal
2024-03-09 10:55:43,4104,ScriptBlockLogging,fclark,WIN-FIN-006,10.10.2.106,Get-ChildItem -Path C:\Users -Recurse,block_57954,Console,Normal
2024-03-10 08:54:11,4104,ScriptBlockLogging,ibailey,WIN-EXEC-002,10.10.7.102,Get-WmiObject Win32_OperatingSystem,block_98772,Console,Normal
2024-03-26 14:51:19,4104,ScriptBlockLogging,owatson,WIN-OPS-005,10.10.8.105,Get-ChildItem -Path C:\Users -Recurse,block_71177,Console,Normal
2024-03-13 13:59:39,4104,ScriptBlockLogging,jscott,WIN-IT-003,10.10.3.103,Get-ChildItem -Path C:\Users -Recurse,block_55596,Console,Normal
2024-03-14 14:38:07,4104,ScriptBlockLogging,mwilson,WIN-HR-002,10.10.1.102,Get-Service,block_52230,Console,Normal
2024-03-12 10:19:20,4104,ScriptBlockLogging,bmorris,WIN-MKT-001,10.10.6.101,Get-ChildItem -Path C:\Users -Recurse,block_30464,Console,Normal
2024-03-11 14:18:27,4104,ScriptBlockLogging,ladams,WIN-IT-005,10.10.3.105,Get-NetAdapter,block_55758,Console,Normal
2024-03-24 13:55:44,4104,ScriptBlockLogging,tphillips,WIN-SALES-003,10.10.5.103,Get-WmiObject Win32_OperatingSystem,block_40153,Console,Normal
2024-03-05 09:48:43,4104,ScriptBlockLogging,nwood,WIN-OPS-004,10.10.8.104,Get-EventLog -LogName System -Newest 50,block_45362,Console,Normal
2024-03-08 15:57:16,4104,ScriptBlockLogging,qkelly,WIN-RD-002,10.10.9.102,Get-EventLog -LogName System -Newest 50,block_65535,Console,Normal
2024-03-01 09:14:57,4104,ScriptBlockLogging,ecook,WIN-MKT-004,10.10.6.104,Get-WmiObject Win32_OperatingSystem,block_80747,Console,Normal
2024-03-04 12:51:50,4104,ScriptBlockLogging,ptaylor,WIN-HR-003,10.10.1.103,Get-ADUser -Filter *,block_49799,Console,Normal
2024-03-15 12:09:31,4104,ScriptBlockLogging,glewis,WIN-FIN-007,10.10.2.107,Get-Service,block_19746,Console,Normal
2024-03-04 17:48:32,4104,ScriptBlockLogging,crogers,WIN-MKT-002,10.10.6.102,Get-Service,block_18164,Console,Normal
2024-03-10 13:32:53,4104,ScriptBlockLogging,pbrooks,WIN-RD-001,10.10.9.101,Set-Location C:\Users,block_19028,Console,Normal
2024-03-15 12:23:18,4104,ScriptBlockLogging,ucampbell,WIN-SALES-004,10.10.5.104,Get-EventLog -LogName System -Newest 50,block_50614,Console,Normal
2024-03-10 11:45:56,4104,ScriptBlockLogging,kcox,WIN-OPS-001,10.10.8.101,Set-Location C:\Users,block_69561,Console,Normal
