timestamp,event_id,event_name,user,host,source_ip,process,parent_process,command_line,md5,src_port,dest_ip,dest_port,dest_host,protocol,image,signed,signature,source_process,target_process,granted_access,file_path,category
2024-03-17 13:28:22,1,ProcessCreate,amartin,WIN-FIN-002,10.10.2.102,iexplore.exe,svchost.exe,C:\Windows\System32\iexplore.exe,5949aefc6a80022c3f10fcd9dc8b7583,,,,,,,,,,,,,Normal
2024-03-17 15:58:39,1,ProcessCreate,ibailey,WIN-EXEC-002,10.10.7.102,services.exe,svchost.exe,C:\Windows\System32\services.exe,4f3093e2aa57962314245e04ad6b6cf2,,,,,,,,,,,,,Normal
2024-03-01 17:10:55,1,ProcessCreate,gbell,WIN-MKT-006,10.10.6.106,thunderbird.exe,explorer.exe,C:\Windows\System32\thunderbird.exe,c5233f1ef4ff2dc460b51ddc4d08e0c3,,,,,,,,,,,,,Normal
2024-03-07 10:42:08,1,ProcessCreate,jsmith,WIN-HR-001,10.10.1.101,winrar.exe,explorer.exe,C:\Windows\System32\winrar.exe,91c3fec0b4d2732ede80b6eb1639ef1b,,,,,,,,,,,,,Normal
2024-03-06 09:02:52,1,ProcessCreate,xcollins,WIN-SALES-007,10.10.5.107,chrome.exe,cmd.exe,C:\Windows\System32\chrome.exe,f8130c7aa6e824198c00e036314ba22d,,,,,,,,,,,,,Normal
2024-03-29 09:56:53,1,ProcessCreate,mwilson,WIN-HR-002,10.10.1.102,msedge.exe,cmd.exe,C:\Windows\System32\msedge.exe,dafb630528a2a1bac46f6ac46035d75d,,,,,,,,,,,,,Normal
2024-03-27 11:52:47,1,ProcessCreate,dreed,WIN-MKT-003,10.10.6.103,slack.exe,cmd.exe,C:\Windows\System32\slack.exe,5b3e5642ef88db53654435eb7a54ad37,,,,,,,,,,,,,Normal
2024-03-22 16:50:40,1,ProcessCreate,kcox,WIN-OPS-001,10.10.8.101,explorer.exe,svchost.exe,C:\Windows\System32\explorer.exe,cde09bcdf5fde1e2eac52c0f93362b79,,,,,,,,,,,,,Normal
2024-03-20 15:13:35,1,ProcessCreate,qperez,WIN-SOC-005,10.10.4.105,thunderbird.exe,cmd.exe,C:\Windows\System32\thunderbird.exe,c5233f1ef4ff2dc460b51ddc4d08e0c3,,,,,,,,,,,,,Normal
2024-03-20 17:37:58,1,ProcessCreate,ptaylor,WIN-HR-003,10.10.1.103,winrar.exe,svchost.exe,C:\Windows\System32\winrar.exe,91c3fec0b4d2732ede80b6eb1639ef1b,,,,,,,,,,,,,Normal
