timestamp,event,user,source_ip,assigned_ip,vpn_server,duration_seconds,bytes_transferred,category
2024-03-04 14:53:31,VPN_CONNECT,mbaker,172.17.163.110,172.16.0.182,VPN-CORP-001,5701,25926,Normal
2024-03-24 12:13:35,VPN_CONNECT,hrobinson,172.25.228.63,172.16.0.163,VPN-CORP-001,5573,310673,Normal
2024-03-06 13:11:30,VPN_CONNECT,tphillips,172.18.13.143,172.16.0.118,VPN-CORP-001,23319,27303,Normal
2024-03-27 09:18:44,VPN_CONNECT,mbaker,172.31.117.226,172.16.0.17,VPN-CORP-001,20300,42517,Normal
2024-03-17 11:41:16,VPN_CONNECT,jsmith,172.31.153.35,172.16.0.110,VPN-CORP-001,20521,132816,Normal
2024-03-02 15:57:51,VPN_CONNECT,jsmith,172.31.191.96,172.16.0.148,VPN-CORP-001,10532,18783,Normal
2024-03-05 09:29:14,VPN_CONNECT,mbaker,172.22.252.5,172.16.0.110,VPN-CORP-001,2085,182188,Normal
2024-03-24 17:45:00,VPN_CONNECT,kcox,172.19.255.101,172.16.0.84,VPN-CORP-001,3410,307456,Normal
2024-03-26 14:17:51,VPN_CONNECT,nwood,172.30.152.187,172.16.0.47,VPN-CORP-001,6456,75962,Normal
2024-03-03 13:49:25,VPN_CONNECT,nwood,172.27.64.243,172.16.0.171,VPN-CORP-001,22932,341046,Normal
2024-03-24 10:05:01,VPN_CONNECT,sturner,172.28.237.137,172.16.0.163,VPN-CORP-001,7627,293065,Normal
2024-03-18 12:01:47,VPN_CONNECT,nwood,172.23.205.138,172.16.0.148,VPN-CORP-001,4151,406586,Normal
2024-03-21 16:10:00,VPN_CONNECT,bmorris,172.28.141.5,172.16.0.39,VPN-CORP-001,23606,472271,Normal
2024-03-04 09:05:28,VPN_CONNECT,rthompson,172.29.210.167,172.16.0.153,VPN-CORP-001,20965,402397,Normal
2024-03-23 16:41:05,VPN_CONNECT,nwood,172.29.37.243,172.16.0.167,VPN-CORP-001,12570,258173,Normal
2024-03-19 15:54:54,VPN_CONNECT,bmorris,172.22.54.176,172.16.0.124,VPN-CORP-001,20280,213196,Normal
2024-03-20 13:31:08,VPN_CONNECT,hrobinson,172.18.18.76,172.16.0.162,VPN-CORP-001,27935,145201,Normal
2024-03-12 08:00:34,VPN_CONNECT,pbrooks,172.24.187.122,172.16.0.172,VPN-CORP-001,17703,121546,Normal
2024-03-10 11:20:46,VPN_CONNECT,tphillips,172.17.206.252,172.16.0.198,VPN-CORP-001,28075,15786,Normal
2024-03-28 17:14:45,VPN_CONNECT,mbaker,172.29.115.17,172.16.0.31,VPN-CORP-001,5387,58834,Normal
2024-03-20 09:51:38,VPN_CONNECT,nwood,172.25.182.37,172.16.0.108,VPN-CORP-001,10016,42290,Normal
2024-03-17 09:22:27,VPN_CONNECT,nwood,172.26.246.250,172.16.0.54,VPN-CORP-001,22062,491575,Normal
