timestamp,event_id,event_name,user,domain,workstation,source_ip,dest_ip,logon_type,logon_type_name,result,sub_status,failure_reason,process_name,parent_process,command_line,privileges,new_account,new_account_fullname,new_account_dept,member_added,group,service_name,service_binary,start_type,service_type,category,description
2024-03-28 14:48:37,4624,SuccessfulLogon,qkelly,ACEPTECH,WIN-RD-002,10.10.9.102,10.10.50.1,2,Interactive,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-10 14:42:43,4624,SuccessfulLogon,yedwards,ACEPTECH,WIN-SALES-008,10.10.5.108,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-16 13:21:46,4624,SuccessfulLogon,glewis,ACEPTECH,WIN-FIN-007,10.10.2.107,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-28 17:38:14,4624,SuccessfulLogon,xcollins,ACEPTECH,WIN-SALES-007,10.10.5.107,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-29 11:17:52,4624,SuccessfulLogon,Administrator,ACEPTECH,DC-PRIMARY-001,10.10.50.1,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-16 14:35:57,4624,SuccessfulLogon,svc_antivirus,ACEPTECH,DC-PRIMARY-001,10.10.50.1,10.10.50.1,2,Interactive,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-03 09:23:36,4624,SuccessfulLogon,fclark,ACEPTECH,WIN-FIN-006,10.10.2.106,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-28 17:23:24,4624,SuccessfulLogon,dreed,ACEPTECH,WIN-MKT-003,10.10.6.103,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-19 08:00:23,4624,SuccessfulLogon,ucampbell,ACEPTECH,WIN-SALES-004,10.10.5.104,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-25 15:31:09,4624,SuccessfulLogon,qkelly,ACEPTECH,WIN-RD-002,10.10.9.102,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-15 15:39:18,4624,SuccessfulLogon,lward,ACEPTECH,WIN-OPS-002,10.10.8.102,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-28 08:22:12,4624,SuccessfulLogon,vparker,ACEPTECH,WIN-SALES-005,10.10.5.105,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-01 08:33:30,4624,SuccessfulLogon,kgreen,ACEPTECH,WIN-IT-004,10.10.3.104,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
2024-03-01 10:59:24,4624,SuccessfulLogon,rroberts,ACEPTECH,WIN-SALES-001,10.10.5.101,10.10.50.1,3,Network,Success,,,,,,,,,,,,,,,,Normal,An account was successfully logged on.
